year,to,from,points
1988,Spain,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1988,Sweden,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,49
1988,Switzerland,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,124
1988,Turkey,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
1988,United Kingdom,AustriaBelgiumDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,135
1989,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,84
1989,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
1989,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,39
1989,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,100
1989,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,66
1989,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,57
1989,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,43
1989,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1989,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,19
1989,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,38
1989,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,48
1989,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1989,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,45
1989,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,30
1989,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,39
1989,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,88
1989,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,96
1989,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1989,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,1
1989,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,124
1990,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,44
1990,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,46
1990,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,36
1990,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,57
1990,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
1990,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,108
1990,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,59
1990,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
1990,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,124
1990,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
1990,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,140
1990,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,36
1990,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,25
1990,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1990,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,9
1990,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,89
1990,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,24
1990,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,46
1990,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,12
1990,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,77
1991,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1991,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,23
1991,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,43
1991,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1991,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1991,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,126
1991,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,10
1991,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,27
1991,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,40
1991,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,109
1991,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,80
1991,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,25
1991,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1991,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,54
1991,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,103
1991,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,128
1991,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,108
1991,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
1991,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,37
1992,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,59
1992,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,11
1992,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,48
1992,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1992,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,1
1992,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,73
1992,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,27
1992,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,85
1992,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,134
1992,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,66
1992,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,96
1992,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1992,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,64
1992,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,21
1992,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,21
1992,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,35
1992,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,5
1992,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1992,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
1992,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,129
1993,Austria,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,20
1993,Belgium,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
1993,Cyprus,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,17
1993,Denmark,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
1993,Finland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,13
1993,France,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,101
1993,Germany,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,18
1993,Greece,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1993,Ireland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,146
1993,Israel,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,4
1993,Italy,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,38
1993,Luxembourg,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,0
1993,Netherlands,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,63
1993,Norway,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,88
1993,Portugal,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1993,Spain,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,35
1993,Sweden,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,76
1993,Switzerland,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,129
1993,Turkey,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,6
1993,United Kingdom,AustriaBelgiumCyprusDenmarkFinlandFranceGermanyGreeceIrelandIsraelItalyLuxembourgNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,129
1994,Austria,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,11
1994,Cyprus,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,41
1994,Finland,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1994,France,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,37
1994,Germany,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
1994,Greece,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,23
1994,Ireland,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,123
1994,Netherlands,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,4
1994,Norway,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,40
1994,Portugal,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,52
1994,Spain,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,10
1994,Sweden,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,34
1994,Switzerland,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,7
1994,United Kingdom,AustriaCyprusFinlandFranceGermanyGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandUnited Kingdom,34
1995,Austria,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,61
1995,Belgium,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,8
1995,Cyprus,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,51
1995,Denmark,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,60
1995,France,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,58
1995,Germany,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,0
1995,Greece,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,43
1995,Ireland,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,26
1995,Israel,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,42
1995,Norway,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,92
1995,Portugal,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,5
1995,Spain,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,78
1995,Sweden,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,74
1995,Turkey,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,6
1995,United Kingdom,AustriaBelgiumCyprusDenmarkFranceGermanyGreeceIrelandIsraelNorwayPortugalSpainSwedenTurkeyUnited Kingdom,59
1996,Austria,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,31
1996,Belgium,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,19
1996,Cyprus,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1996,Finland,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,2
1996,France,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,15
1996,Greece,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,26
1996,Ireland,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,103
1996,Netherlands,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,58
1996,Norway,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,79
1996,Portugal,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,71
1996,Spain,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,8
1996,Sweden,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,69
1996,Switzerland,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,17
1996,Turkey,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,41
1996,United Kingdom,AustriaBelgiumCyprusFinlandFranceGreeceIrelandNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,52
1997,Austria,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,3
1997,Cyprus,AustriaCyprusDenmarkFranceGermanyGreeceIrelandItalyNetherlandsNorwayPortugalSpainSwedenSwitzerlandTurkeyUnited Kingdom,69
